Batch,SampleID,IS_Recovery,Nicotine_Conc_ng_per_mL,Sample_Vol_mL,Nicotine_Mass_ng
Data - Nicotine Correction,S1,67,85.96726728957513,3,257.9018018687254
Data - Nicotine Correction,S2,69,30.738829335407605,3,92.21648800622282
Data - Nicotine Correction,S3,72,0.39471360340201167,3,1.184140810206035
Data - Nicotine Correction,S4,39,51.41766935712873,3,154.2530080713862
Data - Nicotine Correction,S5,53,17.978674654782406,3,53.936023964347214
Data - Nicotine Correction,S6,25,49.717639248859,3,149.152917746577
Data - Nicotine Correction,S7,57,95.50233318726144,3,286.5069995617843
Data - Nicotine Correction,S8,64,9.154148373391962,3,27.462445120175886
Data - Nicotine Correction,S9,43,153.0381025860919,3,459.1143077582757
Data - Nicotine Correction,S10,67,27.530366121922686,3,82.59109836576806
Data - Nicotine Correction,S11,55,38.80759083722702,3,116.42277251168105
Data - Nicotine Correction,S12,47,29.249750730012334,3,87.749252190037
Data - Nicotine Correction,S13,58,211.9046979590215,3,635.7140938770644
Data - Nicotine Correction,S14,56,99.60018201808609,3,298.80054605425823
Data - Nicotine Correction,S15,64,82.9136705793579,3,248.7410117380737
Data - Nicotine Correction,S16,54,101.19627239363994,3,303.5888171809198
Data - Nicotine Correction,S17,56,0.8178295206817674,3,2.453488562045302
Data - Nicotine Correction,S18,63,105.47044702028101,3,316.41134106084303
Data - Nicotine Correction,S19,47,72.9109877090627,3,218.7329631271881
Data - Nicotine Correction,S20,64,228.42874088587587,3,685.2862226576276
Data - Nicotine Correction,S21,72,176.24681813421898,3,528.740454402657
Data - Nicotine Correction,S22,56,21.812804177690293,3,65.43841253307087
Data - Nicotine Correction,S23,83,55.3679063548742,3,166.1037190646226
Data - Nicotine Correction,S24,78,7.019012157501724,3,21.05703647250517
Data - Nicotine Correction,S25,62,46.81024312807571,3,140.43072938422713
Data - Nicotine Correction,S26,69,11.115012362260703,3,33.34503708678211
Data - Nicotine Correction,S27,69,3.9912843787201453,3,11.973853136160436
Data - Nicotine Correction,S28,75,2.4182732008318624,3,7.254819602495587
Data - Nicotine Correction,S29,91,34.299799395275784,3,102.89939818582735
Data - Nicotine Correction,S30,92,31.08928808662993,3,93.26786425988979
Data - Nicotine Correction,S31,88,44.90424796997652,3,134.71274390992954
Data - Nicotine Correction,S32,81,10.455742660355408,3,31.367227981066225
Data - Nicotine Correction,S33,80,77.36724745670415,3,232.10174237011245
Data - Nicotine Correction,S34,69,226.79818356198598,3,680.3945506859579
Data - Nicotine Correction,S35,81,108.23770153566436,3,324.71310460699306
Data - Nicotine Correction,S36,80,183.15127744432672,3,549.4538323329801
Data - Nicotine Correction,S37,73,213.28091098002182,3,639.8427329400654
Data - Nicotine Correction,S38,94,55.80981234903344,3,167.42943704710032
Data - Nicotine Correction,S39,76,45.69760883953097,3,137.09282651859291
Data - Nicotine Correction,S40,86,17.774767399371992,3,53.32430219811597
Data - Nicotine Correction,S41,88,30.341823773592502,3,91.02547132077751
Data - Nicotine Correction,S42,70,168.43547562319083,3,505.3064268695725
Data - Nicotine Correction,S43,84,20.111475820783994,3,60.33442746235198
Data - Nicotine Correction,S44,70,22.95518422809726,3,68.86555268429177
Data - Nicotine Correction,S45,88,12.68525261039866,3,38.055757831195976
Data - Nicotine Correction,S46,95,8.218616292993431,3,24.655848878980294
Data - Nicotine Correction,S47,97,0.2642700011640852,3,0.7928100034922556
Data - Nicotine Correction,S48,90,33.77470584156343,3,101.3241175246903
Data - Nicotine Correction,S49,85,0.2179039878815538,3,0.6537119636446613
Data - Nicotine Correction,S50,81,10.833028822872208,3,32.499086468616625
